scenario,label,variant,year,formal_collection_t,informal_collection_t,mixed_collection_t,uncollected_t,closed_loop_mr_t,open_loop_mr_t,chemical_p2p_t,chemical_p2f_t,engineered_landfill_t,thermal_treatment_t,unsanitary_dumpsite_t,uncollected_to_burn_t,uncollected_to_land_t,uncollected_to_water_t,post_collection_mismanaged_t,aquatic_t,terrestrial_t,open_burning_t,total_leakage_t
BAU,Business-as-Usual,CENTRAL,50800,10727443.278651308,18355719.569451153,21454112.237510614,43173331.18117526,2581870.1386723965,8389026.117687201,0.0,0.0,0.0,0.0,4610903.517004876,22394507.536544945,12138209.986120373,8633179.380666329,19092769.406645723,12305989.070340868,10042779.481983123,25748301.531394053,48097070.08371805
BAU,Business-as-Usual,LOWER,50800,7810067.66941494,13226534.050228987,14664267.781529322,40954342.45606641,2038128.8898873045,6385764.644354451,0.0,0.0,0.0,0.0,2573982.7094492586,15729812.151236478,4255497.0254994985,5513357.157345414,13906805.578142444,6669987.009512903,3902816.2616806757,17237690.262701295,27810493.533894874
BAU,Business-as-Usual,UPPER,50800,12634374.027821023,25323034.250162665,26247897.558799893,46506042.254680246,3606671.197148003,11218274.0245423,0.0,0.0,0.0,0.0,5816743.506058711,28762303.96618762,20688481.70341549,12863639.898690838,23053014.32517555,18413585.260213237,18416134.424417365,34082194.484115764,70911914.16874637
CDS,Collection & Disposal,CENTRAL,50800,34013641.03850971,25926008.31036875,33199930.378450245,16692163.233493801,3563841.78144613,11573269.983588636,0.0,0.0,4152927.8191084974,2108780.901559392,4913415.13225089,15706924.305232592,18985346.67331572,8673067.74463708,18912731.766741354,11653785.769982966,10131626.987208787,18276949.912793934,40062362.66998568
CDS,Collection & Disposal,LOWER,50800,24417317.88258907,16387810.356946517,23135724.01892422,13392334.30515987,2411009.9657561174,8332996.264747516,0.0,0.0,2022374.0052231846,682491.5919804994,2869434.5037767035,3775992.581379911,4560926.964170115,1869326.7130211012,13158460.003201542,4091536.3688220982,3350016.720688824,4760714.155616805,12202267.245127726
CDS,Collection & Disposal,UPPER,50800,35501806.969061024,47814790.3802108,35805246.94490477,23703313.215313625,5204398.53521516,19816604.881505985,0.0,0.0,6565273.734250981,3196781.2862468665,7972866.34110663,15889955.37113136,20784367.500489134,9099617.99340921,24995045.74179857,13798762.400648803,12655345.339734674,20794477.442297734,47248585.18268121
RES,Recycling,CENTRAL,50800,33234637.34480498,24584505.065188315,30971369.610209707,18029790.497178137,3299563.6687511206,11094291.016269792,0.0,0.0,0.0,0.0,6925613.569017882,14392223.734077096,21770461.378567185,9040671.27816107,27368416.158314534,12967402.16621142,11503422.595922677,18956514.314441536,43427339.07657564
RES,Recycling,LOWER,50800,20244919.2397097,16045989.931685029,17812177.409750286,13231166.391733952,2631505.113019058,8038921.578287293,0.0,0.0,0.0,0.0,4664232.647870691,3705846.5021974025,4678303.348052533,2090290.8145073536,18951397.428404342,4210799.609719676,3233089.021181508,6798454.483872554,14242343.114773737
RES,Recycling,UPPER,50800,38552353.680063576,48282891.01645928,36172772.438185155,25251128.029390797,5620605.193208091,19641082.835538723,0.0,0.0,0.0,0.0,9226586.882491434,14792613.448133877,24008311.66544597,9530146.929188276,30472377.217903752,16032758.948180087,14514451.94649347,20145758.412187714,50692969.306861274
RSS,Reduce & Substitute,CENTRAL,50800,13212586.459126024,22581043.354502793,24869735.13431515,24802919.736193575,3041593.986914286,9870071.63916655,0.0,0.0,0.0,0.0,5956929.217425438,13874693.891411891,6893181.449536831,5191968.83523718,24164056.794146106,8416505.437852807,5492528.966533013,17900940.453936838,31809974.858322658
RSS,Reduce & Substitute,LOWER,50800,8125535.422062951,16494252.630672866,14752344.925271995,20989905.048178922,2247351.8632621653,7290696.084915045,0.0,0.0,0.0,0.0,3560334.804982691,7562641.245490827,1102004.6088111913,3000109.3078018012,16476466.204468409,4838899.764860403,973322.6327428557,9464914.949908352,15277137.347511608
RSS,Reduce & Substitute,UPPER,50800,15558493.19117103,33594000.73791631,30858751.282572214,28678985.60036068,3607810.679979689,14145751.580124222,0.0,0.0,0.0,0.0,7134093.76663769,20141118.366785873,12106076.5502673,7349979.624823555,29220407.44869604,13009902.694409456,9065371.170993894,26427226.399810284,48502500.26521364
SCS,System Change,CENTRAL,50800,22386306.15054351,23764877.250785116,30771465.121139903,15626232.87335669,3978090.2854159996,10059360.034524169,0.0,0.0,3402762.0595411253,1718680.0573031853,4646592.795645359,13937691.556286564,7185711.866701516,5280850.85574702,16618844.580623515,6682924.037632538,4470426.050331863,16368263.288011447,27521613.375975847
SCS,System Change,LOWER,50800,14400870.021560278,14680131.945004812,19796550.33154194,11453788.904515103,2742283.3269910654,6922488.843767257,0.0,0.0,1749494.3663704714,846054.485690735,3168548.70942834,3669154.9232720155,595823.8502867426,1481134.235543176,12081939.23883629,2558440.4593295716,499537.9026797178,5106743.427315731,8164721.789325019
SCS,System Change,UPPER,50800,29104740.48935219,36836564.94370739,42286733.0807393,20759077.31075635,5216860.381436306,15080916.010348458,0.0,0.0,3922779.104130182,3266437.662257273,7534051.501831151,14520865.905303527,10042613.160306051,5708106.26372462,21907943.50469952,9051044.180782603,8020780.456320477,17438507.618726593,34510332.25582967
