scenario,label,variant,discount_rate,total_leakage_t,leakage_avoided_vs_BAU_t,required_investment_pv_usd,required_investment_pv_Busd,investment_per_t_avoided_usd,net_total_npv_Busd,net_cost_per_t_avoided_usd
BAU,Business-as-Usual,CENTRAL,0.0,48097070.08371804,0.0,26552199705.295357,26.552199705295358,,125.40690717559144,
BAU,Business-as-Usual,CENTRAL,0.035,48097070.08371804,0.0,17216735290.048714,17.216735290048714,,79.23073418193202,
BAU,Business-as-Usual,CENTRAL,0.05,48097070.08371804,0.0,14602011472.376284,14.602011472376283,,66.55213008219867,
BAU,Business-as-Usual,CENTRAL,0.1,48097070.08371804,0.0,9137541930.201984,9.137541930201984,,40.669405724483795,
BAU,Business-as-Usual,LOWER,0.0,27810493.533894874,0.0,26477055194.972893,26.47705519497289,,106.50148880940972,
BAU,Business-as-Usual,LOWER,0.035,27810493.533894874,0.0,17159753186.957418,17.159753186957417,,67.25443125381662,
BAU,Business-as-Usual,LOWER,0.05,27810493.533894874,0.0,14550273621.091694,14.550273621091694,,56.48304593366907,
BAU,Business-as-Usual,LOWER,0.1,27810493.533894874,0.0,9097285376.280832,9.097285376280832,,34.50445262348313,
BAU,Business-as-Usual,UPPER,0.0,70911914.16874637,0.0,26584091611.898743,26.584091611898742,,142.2776131177988,
BAU,Business-as-Usual,UPPER,0.035,70911914.16874637,0.0,17237139461.708363,17.237139461708363,,89.86123189064394,
BAU,Business-as-Usual,UPPER,0.05,70911914.16874637,0.0,14619213077.229351,14.61921307722935,,75.47337170673717,
BAU,Business-as-Usual,UPPER,0.1,70911914.16874637,0.0,9148092745.900175,9.148092745900176,,46.10999635473155,
CDS,Collection & Disposal,CENTRAL,0.0,40062362.66998569,8034707.41373235,27469947825.01048,27.46994782501048,3418.91078423849,123.99605374731655,15432.553715072603
CDS,Collection & Disposal,CENTRAL,0.035,40062362.66998569,8034707.41373235,17755197607.835526,17.755197607835527,2209.8125909961086,77.9883561631087,9706.43386837168
CDS,Collection & Disposal,CENTRAL,0.05,40062362.66998569,8034707.41373235,15038481706.514858,15.038481706514858,1871.6900233121316,65.38653996746007,8138.011330158214
CDS,Collection & Disposal,CENTRAL,0.1,40062362.66998569,8034707.41373235,9371051279.48488,9.371051279484881,1166.321409970517,39.73440591920323,4945.345719906616
CDS,Collection & Disposal,LOWER,0.0,12202267.245127726,15608226.288767148,26888414375.275963,26.888414375275964,1722.7078771036838,106.20486693728549,6804.4161439226755
CDS,Collection & Disposal,LOWER,0.035,12202267.245127726,15608226.288767148,17380373979.212715,17.380373979212717,1113.53933865765,66.81673447505051,4280.866591685492
CDS,Collection & Disposal,LOWER,0.05,12202267.245127726,15608226.288767148,14721269758.560623,14.721269758560624,943.1737781220634,56.02519042926388,3589.465541615309
CDS,Collection & Disposal,LOWER,0.1,12202267.245127726,15608226.288767148,9173485393.852043,9.173485393852044,587.7340079605312,34.05355615883209,2181.7697622272162
CDS,Collection & Disposal,UPPER,0.0,47248585.18268121,23663328.986065157,28049323657.263397,28.049323657263397,1185.3498581615909,138.60355668180557,5857.31436026716
CDS,Collection & Disposal,UPPER,0.035,47248585.18268121,23663328.986065157,18116689354.68432,18.11668935468432,765.6018882783932,87.56314241322936,3700.3729468830643
CDS,Collection & Disposal,UPPER,0.05,47248585.18268121,23663328.986065157,15339264119.700714,15.339264119700713,648.2293395292644,73.54776959605405,3108.090566604758
CDS,Collection & Disposal,UPPER,0.1,47248585.18268121,23663328.986065157,9545970535.890577,9.545970535890577,403.40775980894324,44.93396084170352,1898.8858612481865
RES,Recycling,CENTRAL,0.0,43427339.07657564,4669731.007142402,27258876096.7768,27.2588760967768,5837.354668841538,121.86288842989268,26096.34007686998
RES,Recycling,CENTRAL,0.035,43427339.07657564,4669731.007142402,17628107132.90678,17.62810713290678,3774.9727138339244,76.99148751504202,16487.349570517603
RES,Recycling,CENTRAL,0.05,43427339.07657564,4669731.007142402,14934317900.875147,14.934317900875147,3198.110957147843,64.67841575608212,13850.565622978242
RES,Recycling,CENTRAL,0.1,43427339.07657564,4669731.007142402,9313378992.277893,9.313378992277894,1994.4144487194194,39.55546114962709,8470.60806910004
RES,Recycling,LOWER,0.0,14242343.114773737,13568150.419121137,26431543654.45894,26.431543654458938,1948.057976804993,101.98409120030784,7516.432826141513
RES,Recycling,LOWER,0.035,14242343.114773737,13568150.419121137,17121603753.28278,17.12160375328278,1261.8966642022099,64.46666459488291,4751.322958804482
RES,Recycling,LOWER,0.05,14242343.114773737,13568150.419121137,14515792961.92105,14.515792961921049,1069.8431631082474,54.172165283971474,3992.5976356827873
RES,Recycling,LOWER,0.1,14242343.114773737,13568150.419121137,9073924315.774517,9.073924315774518,668.7664888345387,33.16793618135842,2444.5436671026264
RES,Recycling,UPPER,0.0,50692969.306861274,20218944.861885093,28010771631.451984,28.010771631451984,1385.3725712589153,135.0808694419648,6680.905970350951
RES,Recycling,UPPER,0.035,50692969.306861274,20218944.861885093,18085138900.665356,18.085138900665356,894.4650190306323,85.7506924129517,4241.106200086685
RES,Recycling,UPPER,0.05,50692969.306861274,20218944.861885093,15310101110.611263,15.310101110611264,757.2156319330227,72.18358667049853,3570.0966179779457
RES,Recycling,UPPER,0.1,50692969.306861274,20218944.861885093,9523115155.313799,9.523115155313798,470.999610531898,44.42605683360865,2197.2490224925928
RSS,Reduce & Substitute,CENTRAL,0.0,31809974.858322654,16287095.225395385,8759744948.532873,8.759744948532873,537.8334704444035,92.84287543094914,5700.394953557183
RSS,Reduce & Substitute,CENTRAL,0.035,31809974.858322654,16287095.225395385,7037362907.218574,7.037362907218574,432.08213679783006,61.84728202458698,3797.31813246555
RSS,Reduce & Substitute,CENTRAL,0.05,31809974.858322654,16287095.225395385,6460391660.9880905,6.4603916609880905,396.65708167008387,53.07343927720556,3258.619081102422
RSS,Reduce & Substitute,CENTRAL,0.1,31809974.858322654,16287095.225395385,5010660318.904526,5.010660318904526,307.6460381401673,34.528255188639534,2119.976257939594
RSS,Reduce & Substitute,LOWER,0.0,15277137.347511608,12533356.186383266,8649370545.691376,8.649370545691376,690.1080937194137,78.73420903390138,6281.973308908378
RSS,Reduce & Substitute,LOWER,0.035,15277137.347511608,12533356.186383266,6954514584.586146,6.954514584586146,554.8804710538592,52.48354848784854,4187.509531155648
RSS,Reduce & Substitute,LOWER,0.05,15277137.347511608,12533356.186383266,6386089120.350369,6.38608912035037,509.52745819898337,45.050027101473624,3594.4105019865115
RSS,Reduce & Substitute,LOWER,0.1,15277137.347511608,12533356.186383266,4956357610.607976,4.956357610607976,395.45334361380066,29.330979329063567,2340.233445286579
RSS,Reduce & Substitute,UPPER,0.0,48502500.26521364,22409413.90353273,8841832283.71513,8.84183228371513,394.5588368253246,105.73077699077339,4718.141110067385
RSS,Reduce & Substitute,UPPER,0.035,48502500.26521364,22409413.90353273,7098516485.962489,7.098516485962489,316.7649326537471,70.45061321486484,3143.7954387445475
RSS,Reduce & Substitute,UPPER,0.05,48502500.26521364,22409413.90353273,6514817705.2237835,6.514817705223783,290.71789799003875,60.46625680023272,2698.2524871255346
RSS,Reduce & Substitute,UPPER,0.1,48502500.26521364,22409413.90353273,5048847053.517536,5.0488470535175365,225.30027225395713,39.36580212366027,1756.663618830944
SCS,System Change,CENTRAL,0.0,27521613.37597585,20575456.707742188,8994257581.66707,8.994257581667071,437.1352582556618,91.09461644273166,4427.34359371252
SCS,System Change,CENTRAL,0.035,27521613.37597585,20575456.707742188,7154363700.355577,7.154363700355577,347.71348223164904,60.90015380813143,2959.8445698274954
SCS,System Change,CENTRAL,0.05,27521613.37597585,20575456.707742188,6548402985.781759,6.54840298578176,318.2628254039051,52.33354425238668,2543.493687442402
SCS,System Change,CENTRAL,0.1,27521613.37597585,20575456.707742188,5046979573.669936,5.046979573669936,245.29125381556392,34.181197321427064,1661.260685823089
SCS,System Change,LOWER,0.0,8164721.78932502,19645771.744569853,8751386671.831615,8.751386671831616,445.4590425672905,79.03192736765004,4022.8466662041255
SCS,System Change,LOWER,0.035,8164721.78932502,19645771.744569853,6988933675.003984,6.9889336750039845,355.74747410652094,52.75128289778638,2685.1214390377404
SCS,System Change,LOWER,0.05,8164721.78932502,19645771.744569853,6405967940.081038,6.405967940081038,326.07362150848905,45.30301652249143,2305.99322396247
SCS,System Change,LOWER,0.1,8164721.78932502,19645771.744569853,4955476238.1799755,4.955476238179975,252.24136280366199,29.54119829037274,1503.692431860714
SCS,System Change,UPPER,0.0,34510332.25582968,36401581.91291669,9308080467.651985,9.308080467651985,255.70538362644942,105.2029865908887,2890.0663394949497
SCS,System Change,UPPER,0.035,34510332.25582968,36401581.91291669,7372378786.524766,7.372378786524766,202.5290770099406,70.23196337000262,1929.3656945464122
SCS,System Change,UPPER,0.05,34510332.25582968,36401581.91291669,6736925720.89034,6.73692572089034,185.0723338619473,60.32000610109409,1657.0710098642778
SCS,System Change,UPPER,0.1,34510332.25582968,36401581.91291669,5167947657.486273,5.167947657486272,141.97041408391334,39.34157523230884,1080.7655372347685
