scenario,label,variant,window,start_year,end_year,leakage_avoided_t,leakage_avoided_Mt,required_investment_pv_3_5_usd,required_investment_pv_3_5_Busd,capacity_additions_sum,net_cost_sum_usd,investment_per_t_avoided_usd
BAU,Business-as-Usual,CENTRAL,early_2020_2024,2020,2024,0.0,0.0,3291142616.206984,3.291142616206984,846879.8490707041,15113692572.101414,
BAU,Business-as-Usual,CENTRAL,mid_2025_2034,2025,2034,0.0,0.0,7554993580.030905,7.554993580030905,2472509.544554913,43939454783.216835,
BAU,Business-as-Usual,CENTRAL,late_2035_2044,2035,2044,0.0,0.0,6370599093.810824,6.370599093810824,2970112.547026927,66353759820.27318,
BAU,Business-as-Usual,LOWER,early_2020_2024,2020,2024,0.0,0.0,3258800521.464931,3.258800521464931,785436.5888468475,12913254201.364544,
BAU,Business-as-Usual,LOWER,mid_2025_2034,2025,2034,0.0,0.0,7541833019.240298,7.541833019240299,2384725.257253626,37040393601.54994,
BAU,Business-as-Usual,LOWER,late_2035_2044,2035,2044,0.0,0.0,6359119646.252192,6.359119646252192,2862883.7047275137,56547841006.49522,
BAU,Business-as-Usual,UPPER,early_2020_2024,2020,2024,0.0,0.0,3294954155.098663,3.294954155098663,876477.036276828,17156971846.35603,
BAU,Business-as-Usual,UPPER,mid_2025_2034,2025,2034,0.0,0.0,7563684656.7976,7.5636846567976,2571152.403534815,49747985904.83258,
BAU,Business-as-Usual,UPPER,late_2035_2044,2035,2044,0.0,0.0,6378500649.812101,6.378500649812102,3089532.343569888,75372655366.6102,
CDS,Collection & Disposal,CENTRAL,early_2020_2024,2020,2024,494204.38752921834,0.49420438752921836,3286139368.141003,3.286139368141003,1012679.0493407514,14553034252.870007,6649.352881244342
CDS,Collection & Disposal,CENTRAL,mid_2025_2034,2025,2034,3103754.9709304953,3.1037549709304955,7805448148.73146,7.805448148731459,5044362.246679814,42767962693.38507,2514.8403214289215
CDS,Collection & Disposal,CENTRAL,late_2035_2044,2035,2044,4436748.055272644,4.436748055272645,6663610090.963064,6.663610090963064,7130872.334954922,66600575305.958244,1501.9131147291562
CDS,Collection & Disposal,LOWER,early_2020_2024,2020,2024,84354.52189005306,0.08435452189005306,3231499674.308839,3.231499674308839,913543.641733658,12559835378.249979,38308.55302008287
CDS,Collection & Disposal,LOWER,mid_2025_2034,2025,2034,3951173.1297448883,3.9511731297448884,7628178657.417721,7.62817865741772,3789395.3692165962,36572184011.73741,1930.6110886389436
CDS,Collection & Disposal,LOWER,late_2035_2044,2035,2044,11572698.637132205,11.572698637132206,6520695647.486158,6.520695647486158,5315379.404709937,57025331464.06976,563.4550636757989
CDS,Collection & Disposal,UPPER,early_2020_2024,2020,2024,841859.006742235,0.841859006742235,3301795911.4415946,3.3017959114415945,1020790.7520458038,16701913993.5383,3922.0295619555645
CDS,Collection & Disposal,UPPER,mid_2025_2034,2025,2034,7988823.216734476,7.988823216734477,8000974923.978132,8.000974923978132,5609783.823358936,48689050692.038704,1001.5210885150395
CDS,Collection & Disposal,UPPER,late_2035_2044,2035,2044,14832646.762588443,14.832646762588443,6813918519.26459,6.813918519264591,7769270.5344653,73122669857.69415,459.3865564472928
RES,Recycling,CENTRAL,early_2020_2024,2020,2024,26765.429566882318,0.02676542956688232,3289724984.2898526,3.289724984289853,801468.3610002545,14859971223.18469,122909.47829062043
RES,Recycling,CENTRAL,mid_2025_2034,2025,2034,1597269.5541123208,1.5972695541123207,7735542909.546981,7.7355429095469805,3761365.363851655,42415741220.345535,4842.979001027784
RES,Recycling,CENTRAL,late_2035_2044,2035,2044,3045696.023463207,3.045696023463207,6602839239.069945,6.6028392390699455,4397049.823288614,64587175986.36246,2167.9245690323273
RES,Recycling,LOWER,early_2020_2024,2020,2024,-139064.7554518259,-0.13906475545182592,3262902384.270097,3.2629023842700966,723497.0699322004,12544656120.15567,
RES,Recycling,LOWER,mid_2025_2034,2025,2034,3151040.8226948567,3.1510408226948567,7494516140.918323,7.494516140918322,2877728.3094977266,35436319285.68767,2378.425594152984
RES,Recycling,LOWER,late_2035_2044,2035,2044,10556174.351878105,10.556174351878104,6364185228.094361,6.364185228094361,3344995.7662193724,54003115794.4645,602.8874681254271
RES,Recycling,UPPER,early_2020_2024,2020,2024,184207.86800406128,0.18420786800406128,3294873370.62987,3.29487337062987,814066.7256914548,16969531322.52114,17886.713560775956
RES,Recycling,UPPER,mid_2025_2034,2025,2034,6078321.188558612,6.078321188558612,7967464510.049659,7.967464510049659,4178186.926428042,47608223495.14996,1310.8001803272641
RES,Recycling,UPPER,late_2035_2044,2035,2044,13956415.805322418,13.956415805322418,6822801019.985823,6.822801019985823,4957478.647305828,70503114624.29373,488.86484289067107
RSS,Reduce & Substitute,CENTRAL,early_2020_2024,2020,2024,26714.899058054085,0.026714899058054086,3289724984.2898583,3.289724984289858,843615.1418911115,15041390680.624077,123141.95824363643
RSS,Reduce & Substitute,CENTRAL,mid_2025_2034,2025,2034,3452672.5516204825,3.4526725516204824,3629594677.767133,3.629594677767133,1686384.7025812878,37841662479.18492,1051.2420808812622
RSS,Reduce & Substitute,CENTRAL,late_2035_2044,2035,2044,12807707.774716849,12.807707774716848,118043245.16158223,0.11804324516158222,184687.9390536592,39959822271.1401,9.216578582047788
RSS,Reduce & Substitute,LOWER,early_2020_2024,2020,2024,300061.7926721265,0.3000617926721265,3270504941.144895,3.270504941144895,815242.7081858669,12751022140.200237,10899.438119129456
RSS,Reduce & Substitute,LOWER,mid_2025_2034,2025,2034,3462430.32237125,3.46243032237125,3579091583.1987615,3.5790915831987613,1466617.6878659616,32155743419.585396,1033.6934609409311
RSS,Reduce & Substitute,LOWER,late_2035_2044,2035,2044,8770864.071339887,8.770864071339886,104918060.2424909,0.1049180602424909,133475.38407037873,33827443474.115746,11.962112214841682
RSS,Reduce & Substitute,UPPER,early_2020_2024,2020,2024,-163088.71732271183,-0.16308871732271182,3291529203.2135377,3.2915292032135377,898629.5853874739,17150220691.92125,
RSS,Reduce & Substitute,UPPER,mid_2025_2034,2025,2034,5178630.75536983,5.17863075536983,3682790740.3779526,3.6827907403779525,1842853.5986763227,42973397396.02348,711.1514441455765
RSS,Reduce & Substitute,UPPER,late_2035_2044,2035,2044,17393871.86548561,17.393871865485607,124196542.37099913,0.12419654237099913,215008.52873350313,45607158902.82867,7.1402470554839725
SCS,System Change,CENTRAL,early_2020_2024,2020,2024,66147.19445955905,0.06614719445955905,3289724984.289905,3.2897249842899052,843615.1418912282,15041390680.62407,49733.401562498184
SCS,System Change,CENTRAL,mid_2025_2034,2025,2034,4779723.547113872,4.779723547113872,3633610900.745878,3.6336109007458783,3605987.0649844166,37420060513.79051,760.2136117139979
SCS,System Change,CENTRAL,late_2035_2044,2035,2044,15729585.966168765,15.729585966168765,231027815.31979406,0.23102781531979405,2872632.700963027,38572461814.67368,14.687469575911871
SCS,System Change,LOWER,early_2020_2024,2020,2024,410528.888802138,0.410528888802138,3271461702.487695,3.271461702487695,764194.6703860674,12980184567.82871,7968.895226918944
SCS,System Change,LOWER,mid_2025_2034,2025,2034,5772753.987782151,5.772753987782152,3520754699.4066286,3.5207546994066288,2848356.2494188445,32212961738.276005,609.8916923981506
SCS,System Change,LOWER,late_2035_2044,2035,2044,13462488.867985565,13.462488867985565,196717273.10966128,0.19671727310966128,2153406.1045385893,33786262634.18364,14.612251496635533
SCS,System Change,UPPER,early_2020_2024,2020,2024,302695.6687647458,0.3026956687647458,3296785669.593415,3.296785669593415,873144.5588160991,17281310492.862553,10891.42002938822
SCS,System Change,UPPER,mid_2025_2034,2025,2034,9790879.913583562,9.790879913583561,3812303215.8036847,3.8123032158036847,3723643.373680424,42975437979.769516,389.372890838403
SCS,System Change,UPPER,late_2035_2044,2035,2044,26308006.330568384,26.308006330568386,263289901.12766576,0.26328990112766576,3059197.128759116,44862240339.79625,10.007976196270642
